,title,reviews,published_dates,user_name,user_location,user_ratings,trip_details,would_recommed_to_others
37,"""Worst service/airline ever""","  I was going to fly to Frankfurt from Glasgow over London but the flight from London to Frankfurt was cancelled. This meant I had to stay overnight in London where I have no accommodation etc. As I was rebooked to a flight from London City airport which was more than 2h by train I had to get an uber and then take a hotel for £250 in total (London prices). I was reassured over the phone that I would get all the money back. My flight from London city airport was then cancelled again and rebooked to London Heathrow but two days later. I then cancelled that flight and rebooked a new one with Lufthansa as I urgently had to get to work and needed the money. I never received the money back for the hotel, compensation for cancelled flight 1, compensation for cancelled flight 2, the extra food I had to pay for, the uber, or the actual cost of the flight. I was first transferred 3€ by British Airways. They stopped replying to me and told me the issue was ""weather conditions"" although other non-BA flights were going. I lost over £700 in total and never got compensated for the loss of a work day either. It just really feels like they don't care about people. Worst service/airline ever.", 15th December 2023,D Kears ,United Kingdom,1,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon to Frankfurt
Date FlownJune 2023",n
38,“Much better experience this time around”," Much better experience this time around. Flew CPT to LHR on a new A350. Checkin was efficient. I used the Bidvest lounge at CPT as it is better than BA's lounge. Boarding was speedy. The new business class club suites are very good. Slightly irritating to be directed to the wrong seat (1A instead of 1K) which meant that after settling in the passenger in 1A showed up. We arranged a seat switch. Second time in a row it has happened. Why can't BA staff memorise which side of the plane is which and get it right? Captain's announcement was short and on point. Welcome drink was served at the correct temperature i.e. cold (first time ever for me - previously BA has always served the welcome champagne warm). IFE system was good - everything worked as it should. Felt slightly cheap that business class passengers have to pay for wifi. I did not bother. Cocktail was good. The nuts came on a cheap plastic tray which was naff ... other airlines bring out something classier. A female flight attendant came to take my order and I asked for Rooibas panacotta and the chicken breast. She repeated back to me ""so you want a P and a C"". It was such a bizarre thing to say that I misheard. I thought she said ""so you want beef and sea""? Confusion reigned until she explained to me she had a checklist of passenger orders and they abbreviate to first letters so she was saying ""P"" for panacotta and ""C"" for chicken. But how bizarre to repeat back an order to a passenger in code. Why not just say, ""so to confirm panacotta to start and chicken as your main dish"", like every other restaurant / airline does in the world? The internal coding of food ordering is exactly that - internal. She even looked irritated at me that I did not understand her jargon first time. The food, when it came, was excellent. Much much better than recent flights. I read somewhere that BA changed caterer. If so, it shows. The panacotta was superb as was the chicken ... good restaurant quality. The wine was OK to good but definitely not good to excellent. I feel that while the food has got better in BA business class, the wines have got worse. Certainly compared to Air France which I have also flown recently. The wine was brought out on time (not afer I finished eating as it was lass time I flew BA business). Cheese was also good and not teeth crackingly cold as last time. I had a good night's sleep. Plenty of snacks out if you wanted them (and they did not run out). Breakfast was excellent and the coffee was hot (previously it has been lukewarm). So all in all a vastly improved service offering. The staff seemed rushed off their feet ... it would not hurt to have an extra flight attendant to look after so many business class seats. Overall summary: vastly improved passenger proposition. It would be 10/10 but I deduct a point for showing me to the wrong seat and another point for the bizarre interaction with the female flight attendant who repeated my food order back to me using internal jargon codes.", 14th December 2023,6 reviewsB Jackson ,United Kingdom,8,"AircraftA350
Type Of TravellerSolo Leisure
Seat TypeBusiness Class
RouteCape Town to London Heathrow 
Date FlownDecember 2023",y
39,"“our compensation rights"""," Once again a terrible business class experience with BA. The flight was delayed by 4.5 hours, The plane was very old with problems with at least 4 of the seats in business class not cleaned properly prior to departure. Food was terrible as always with BA and only one choice available from advertised menu. As a result of the delay we missed our connecting flight from Heathrow and instead of putting us on the next connection they chose the second last flight of the day - which was also delayed by over an hour meaning we had an additional 4 hour delay whilst at Heathrow. At no point were we advised about our compensation rights (despite asking at check in and connections) or provided any vouchers during the delays. Having flown Etihad, Qatar and Virgin business class equivalents over the last year it is clear to see how big the gulf now is between BA and its rivals. ", 12th December 2023,H Miller ,United Kingdom,3,"Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteMiami to Manchester via Heathrow
Date FlownDecember 2023",n
40,"""A380's are showing their age""","  BA A380's are showing their age, hopefully they will update the interiors soon because it was a let down especially when the flight lasts 11 hours. Cabin crew were good and helpful. Dinner was ok but the breakfast was grim. On board entertainment was not the latest and seat back USB points didn't work. The only upside of BA is that it is only 1 of 2 airlines who fly this route directly and their pricing reflects this, if you're prepared to lay over then there are better airlines out there.", 12th December 2023,Allan Gittens ,United Kingdom,4,"AircraftA380
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteJohannesburg to London 
Date FlownDecember 2023",n
41,"""Service was fantastic"" ","   Credit to BA - Flew to Singapore recently and also back from Doha to London and both experiences were great. Service was fantastic as was the quality of the food, entertainment and was left feeling BA have got it together after a few previous below average experiences. You definitely notice the difference with the staff on BA - Far more approachable and outgoing compared to the cold and corporate middle eastern airline crews. Nice one BA for 2 great flights.", 10th December 2023,Lee Kitson ,United Kingdom,9,"AircraftBoeing 777
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon Heathrow to Singapore
Date FlownDecember 2023",y
42,"""it was a very nice flight"" ","   The check in area for premium classes at Gatwick is very nice, and there was no queue when I arrived so I was able to drop my bag very quickly. Premium security at Gatwick is fine. The flight was delayed due to NATS issues, but the member of staff on arriving at the lounge let me know of this. The lounge is nicevand it’ very comfortable. There was an excellent range of food and drinks. All the drinks you would expect. Food wise there were sandwiches, soup, pasta, salads, fruit, Spanish stew, as well as turkey and ham pies with mashed potato, roasted parsnips and carrots and gravy. It was all really good and particularly nice to see so many options. Boarding was pretty slow, although the gate crew did a good job to keep it well organised and allow priority passengers to board first. As has been well documented the onboard experience in terms of seat on ba Europe business is pretty poor, but in line with other European carriers sadly. That being said, the seat is well padded and comfortable and the adjustable headrest is quite good. The on board catering was of excellent quality. I was lucky to get my preferred option of the roast turkey, but several people sat near me weren’t as lucky. I do understand that meal options may run out but when the meal options are roast turkey with all the trimmings, vegetarian cottage pie or a chicken salad you really should be stocking enough for every passenger to get the proper meal  Or failing that, allow an order in advance service where you then only stock the meals that people want to eat. Whilst I fully support the desire to minimise waste, both food and cost, people really should really be able to get the ideal meal option. Unfortunately one of the people affected reacted very badly to this and took it out on the cabin crew which is unacceptable.. they also lost a bit of perspective about just how serious a situation it actually was! The cabin crew were  very nice, friendly and professional, if a little slow.. but not to the point of detracting from the positive experience I had. The ground service at Gran Canaria was pretty poor, priority bags clearly meant nothing. 95% of bags coming out were not priority, mine came out about halfway through bag delivery and demonstrates poor delivery of service and not  fulfilling on the service they promise to their customers. Overall though it was a very nice flight, and having paid for it using avios and £1 I cannot complain at all.", 10th December 2023,10 reviewsS Horton ,United Kingdom,9,"AircraftA320
Type Of TravellerSolo Leisure
Seat TypeBusiness Class
RouteGatwick to Las Palmas
Date FlownDecember 2023",y
43,"""onboard service was efficient""",  The flight took off a little late due to Heathrow congestion but still landed on schedule. Boarding was smooth and the onboard service was efficient. A small snack was served for free with a bottle of water; additional items were available for purchase. The cabin and toilets were very clean. Overall an unremarkable flight but in a good way!, 9th December 2023,S Deyle ,United Kingdom,10,"AircraftA319
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLondon Heathrow to Geneva
Date FlownDecember 2023",y
44,“Lots of stress”," BA is great in the air! But... they sell you connections thru London Heathrow Terminal 5 (their private, BA-only terminal) which you are practically not able to make. 90 minutes stopover time, European flight inbound, transatlantic flight outbound, you arrive at the terminal gate ON TIME and... book, security! Endless line, slow process. Your boarding starts and you are nowhere near the X ray, and then.... it is a train ride withing the same terminal (but different, distant buildings). Almost impossible to make. Lots of stress.", 6th December 2023,1 reviewsFernando Velez ,Ecuador,1,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteMadrid to San Francisco via London Heathrow
Date FlownNovember 2023",n
45,"""did not offer a wheelchair""","  I had broken my leg 2 days before our return flight from Lisbon to London. I called to get some assistance from British Airways, hoping for wheelchair assistance, an easier seat to get to, or possibly an upgrade so that I could stretch out my broken leg, which was in a cast. This airline failed on all fronts. Quoted us a price of €6,000 each (I was traveling with my husband), which we could not do. Almost didn't let me on the plane, trying to interpret my medical report. They did not attempt to change our seats, which were near the back. The single concession they made was to allow me to board 1st, but did not offer a wheelchair, so I had to swing myself down the aisle to my seat using the arm rests of all 21 rows before my seat, as the aisles are not wide enough for crutches. Might I add, I am nearly 70. Had to exit same way. No wheelchair waiting for me at Heathrow, had to hop onto bus with crutches to change terminals and nearly took a tumble doing so. Took so long to get a wheelchair that they had to hold my connecting flight (on another airline) for me and we were last to board. That flight had allowed us to upgrade to business class, for a reasonable price, and took great care of me.", 5th December 2023,T Perino ,United States,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLisbon to London Heathrow
Date FlownNovember 2023",n
46,“Seat was fine but product ageing”, Check in at MIA straightforward. BA use American flagship lounge near gate D30 which is excellent. Flight delayed but only by 1 hours. Boarding chaotic. On board staff were fine. Seat was fine too but product ageing. Post take off service prompt. Slept for 6 hours. I noticed that in club world BA have ditched rose champagne which is a shame. Pre arrival breakfast was ok. Slow to deplane. Luggage off ok., 4th December 2023,E Smyth ,United Kingdom,7,"AircraftA380
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteMiami to London Heathrow 
Date FlownNovember 2023",y
47,"""such a terrible customer experience"" ","   Never I saw such a terrible customer experience. The plane landed already 30 minutes late: despite any operational delays, the boarding took over 1 hour because the crew did not know where to place the luggages. After this long 1 hour boarding process, the captain did not apologise.  This is extremely frustrating when this occurs on a night flight, forcing passengers to lose train connections to home.", 3rd December 2023,F Orlandino ,United Kingdom,1,"Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RoutePalma de Mallorca to Gatwick
Date FlownDecember 2023",n
48,"""I was pleasantly surprised""","  Having not flown with BA for a few years, I read some of the reviews in preparation, needless to say I boarded this flight with low expectations. I was pleasantly surprised as the flight was ok. We left LHR a few minutes early and arrived at JNB ahead of schedule. Cabin crew, although not as good as some carriers were attentive and professional. Onboard catering was a disappointment as if you were unlucky to miss out on the chicken you were given a very sloppy pasta. On board entertainment has never been BA's strong point and sadly that hasn't changed. Unfortunately BA is not the prestigious carrier it once was but its not as bad (from my experience) as some reviews suggest.", 30th November 2023,A Gittens ,United Kingdom,5,"AircraftBoeing 787-9
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon to Johannesburg
Date FlownNovember 2023",y
49,"""Buckle up, folks; this one's a rollercoaster"""," Dear Community I feel compelled to share the utter frustration and disappointment that defined my recent travel experience with British Airways. Buckle up, folks; this one's a rollercoaster. On July 16 and 17, 2023, I had the displeasure of flying with British Airways on BA709 and BA7, and let me tell you, it was a nightmare. The initial flight from Zurich (ZRH) to London (LHR) on BA709 faced a seemingly unavoidable one-hour delay upon arrival at LHR. This, of course, resulted in me missing my connection to Tokyo, triggering an automatic rescheduling of my flight to Tokyo (HND) via Beijing with Air China. Oh, but the fun didn't stop there — flight CA183 was also delayed, turning my 16-hour delay into a grand total of 23 hours, finally arriving in Tokyo at 23:00 instead of the promised 7:10. And the cherry on top? My four checked-in suitcases decided to take a detour and didn't join me in Tokyo, forcing me to waste an additional two hours filling out forms at the baggage center. I finally got my lost luggage back on July 23, because why make it easy, right? But wait, there's more! My return flight from Tokyo to Zurich (BA8) on August 8 also danced to the delay tune, making me question if punctuality is just a myth for British Airways. The cumulative impact of these delays torpedoed my vacation plans, stealing a whole day of scheduled activities, including a guided Tokyo tour. As if that weren't enough, I had to dig deeper into my pockets for unforeseen expenses—extra airport transfers, tour operator assistance fees, emergency purchases, airport meals, and international calls for rearrangements. The lack of assistance at LHR airport was the icing on this bitter cake. Installing the BA app just to get basic information about alternative connection flights was a hassle, and the fact that no BA clerk could provide this info in person was downright infuriating. British Airways, you've left me with a sour taste in my mouth and a dent in my wallet. Here's hoping you take this feedback seriously and step up your game because right now, it's not a good look. Frustrated and fed up, Bert", 26th November 2023,Bert Vissers ,Switzerland,1,"Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteZürich to Tokyo Haneda via London
Date FlownJuly 2023",n
50,"""cabin crew excellent""",  Quick bag drop at First Wing but too many passengers so had to use fast track security in main terminal. Direct entry to Concorde room outside security south. Ate excellent breakfast which was served promptly. Concorde room is a nice place to wait for a flight there is some interesting memorabilia and an excellent bar. Boarding from c gates was disorganised and slow. On board cabin crew excellent. Good choice of beverages and these were of high quality. Food was good. Seat comfortable. No first bedding provided. On time arrival into Miami. Baggage took 1 hour to arrive, 23rd November 2023,E Smyth ,United Kingdom,9,"AircraftA380
Type Of TravellerCouple Leisure
Seat TypeFirst Class
RouteLondon to Miami
Date FlownNovember 2023",y
51,"""Service level far worse then Ryanair""","  4 Hours before takeoff we received a Mail stating a cryptic message that there are disruptions to be expected as there is a limit on how many planes can leave at the same time. So did the capacity of the Heathrow Airport really hit British Airways by surprise, 4h before departure? Anyhow - we took the one hour delay so what - but then we have been forced to check in our Hand luggage. I travel only with hand luggage to avoid waiting for the ultra slow processing of the checked in luggage. Overall 2h later at home than planed, with really no reason, just due to incompetent people. Service level far worse then Ryanair and triple the price. Really never again. Thanks for nothing.", 19th November 2023,L Keele ,Germany,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLondon to Stuttgart
Date FlownNovember 2023",n
52,"""do not upgrade members based on status""","  I recently had a delay on British Airways from BRU to LHR that was due to staff shortages. They announced that there was a 2 hour holding delay but they would board us immediately in hopes of clearing the gate and leaving early. We had to wait the full 2 hours inside the airplane. The plane was old, dirty, had no power at the seats. The staff provided a small bag of pretzels and 250ml of water to the passengers for 2 hour delay and 2 hour flight. There were no options to purchase food or drink. There were no entertainment options available. I am a OneWorld emerald elite member but they do not upgrade members based on status. First class lounges at Heathrow are overcrowded, understaffed and poorly equipped. The help desk is completely unhelpful when an error arises with delays and cancellations - even when having the top status. The Avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket. British has lost its way in recent years and has a moved from a world-class airline to a budget airline with much worse service and timeliness than Ryanair or EasyJet.", 19th November 2023,Austin Jones ,United States,3,"AircraftA320
Type Of TravellerBusiness
Seat TypeEconomy Class
RouteBrussels to London
Date FlownNovember 2023",n
53,"""Flight was smooth and quick""","  Boarded on time, but it took ages to get to the runway due to congestion. Flight was smooth and quick. Snack and drinks were good for a short flight. Landed only about ten minutes late. One bag of three left in London, forms quickly filled in, and the bag was delivered the next morning.", 16th November 2023,M A Collie ,Ireland,8,"AircraftA320
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteLondon Heathrow to Dublin
Date FlownNovember 2023",y
54,"""Absolutely hopeless airline""","  5 days before the flight, we were advised by BA that it had been cancelled and asked us to rebook. There were flights 1 hour before and 1 hour after our original flight but they made us take one 3 hours earlier. Our original ticket (and the return flight a week later) included a checked bag. When we arrive at Heathrow to check in we are told our ticket doesn't included a bag and we will have to pay 75 pounds each to take them. We explained that the original ticket had the bags and when they checked the system they confirmed that it did- but not this one! They would make no effort to sort it out and just told us to pay up or they would remove us from the flight. So we had no choice but to pay up, thinking it should be pretty easy to get a refund. 15 months and 10 emails later we have still not seen a penny. Every time I ask where my refund is and state how long we have been waiting I get an inane email saying some departments take longer than others to respond!  Absolutely hopeless airline to stuff up the booking in the first place and even worse customer service to not even attempt to solve the problem at check in even when they could see the mistake THEY had made in their system, compounded by being be unable to investigate a very simple claim, and refund me 150 pounds in 15 months.", 16th November 2023,Nigel Dean ,Australia,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLondon to Dublin
Date FlownDecember 2022",n
55,"""Customer Service is non existent""","  
We traveled to Lisbon for our dream vacation, a cruise to Portugal and Spain. Our friends did not EVER get their luggage. It was a two week cruise. Two weeks without a change of clothes or her CPAP machine. Contacting customer service was a nightmare. We never talked to a real person. Very little effort was put into getting them their bags. In one port we were on the ship and the bags were at the airport. The airlines did not deliver the bags nor did they tell our friends that they needed to go get them. The airline couldn’t be bothered to take the bags from the airport to the ship. BA says it is their policy to get you your bags within 72 hours. That is a joke! It’s been over two weeks and they still don’t have them. They are back home in the US and last they heard the bags were in Lisbon! If your have a choice, do not fly British Airways. Customer Service is non existent!", 14th November 2023,Gaylynne Simpson ,United States,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLondon to Lisbon
Date FlownNovember 2023",n
56,"""I can’t imagine a worst airline""","  Booked a flight from Bucharest to Manchester with a 2h 45’ layover at Heathrow. Flight was delayed from Bucharest because of ATC strike. Arrived at Heathrow 40 minutes later than scheduled and still had enough time to catch my connecting flight. Unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage (it’s a common problem with BA at Heathrow). I missed my connecting flight because of their delays and they told me I had to wait all night in a freezing airport for the first flight the next day. There was just a shameful 10£ food voucher which is a joke considering the ridiculous prices at LHR. No accommodation offered and had to sleep in a very cold airport. I asked for compensation and they sent me a long text with the same lame excuses that they are sorry, but they will not compensate anything.  I can’t imagine a worst airline than BA regarding customer care. It is not about money here but rather than the way they treat customers. It is the last time in my lifetime that I will be flying this joke of an airline.", 12th November 2023,A Narden ,Romania,1,"AircraftA320
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteBucharest to Manchester via London
Date FlownSeptember 2023",n
57,"""sufficient leg and arm room""","  Booked online months ago and the only hitch was replacement aircraft meaning chosen seats were different. I was informed of this prior to departure so could amend. Bag drop at MAN T3 wasn't smooth but I suspect that was MAN fault. Shuttle boarding was slow and delayed meaning a rush at LHR T5. The flight to CPT was full but we left more or less on time. The cabin was clean and PE was what we expected, sufficient leg and arm room plus a few little perks with drinks. Only complaint is the seats actually recline too far. Staff were very good during the first few hours of service, especially George. Food was quite tasty but one option wasn't loaded. Breakfast was also quite tasty and we landed on time. The fly in the ointment is both our cases arrived late on the carousel and only later did we notice both had been broken into, likely at CPT. All in all a pleasant surprise.", 8th November 2023,Graeme Boothman ,United Kingdom,8,"AircraftBoeing 777-300
Type Of TravellerCouple Leisure
Seat TypePremium Economy
RouteManchester to Cape Town via London
Date FlownNovember 2023",y
58,“crew were polite”,"  The flight was on time. The crew were polite. It was the same story on my outward flight. I find that BA in Europe is generally pretty good, though I regret that they have substituted Prosecco for Champagne on the list of drinks you can buy in economy! So many complaints about BA and other airlines revolve around lost luggage that I never check in bags, even for long trips.", 7th November 2023,R Vines ,United Kingdom,7,"AircraftA320
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteSeville to London Gatwick 
Date FlownNovember 2023",y
59,"""Angry, disappointed, and unsatisfied""","  Angry, disappointed, and unsatisfied. My route was from London to Atlanta. My suitcase was not boarded, therefore not landed with me. For both comfort and safety reason, a bag always fly with its passenger and that did not happen. Claims and few phone calls were made by desk assistants who answered my questions unprofessionally and miserably. Certainly, I was left with nothing but my backpack which contained not more than few snacks. Neither clothes nor anything else was ever provided as an apology. Meanwhile, I was also told that my bag would have been delivered through the next 24 hours which also did not happen. British Airways is a great airline to fly with but its organization, when it comes to customer service, is poor and uncertain. Still waiting for my bag.", 5th November 2023,Massimo Tricca ,Italy,2,"AircraftBoeing 777
Type Of TravellerFamily Leisure
Seat TypeEconomy Class
RouteLondon Heatrow to Atlanta
Date FlownNovember 2023",y
60,"""BA now stands for Basic Airways""","  As an infrequent flyer, British Airways was always my first choice. With some reassurance and comfort of service, quality, luggage allowance etc. In fact I’ve never flown with the budget airlines. My most recent flight has now changed my view and causes me to reflect on what am I actually getting for my money and is BA what they once were. While the flights were around an hour delayed both ways, the cabin and ground staff service were ok. It is the facilities (or lack of) that I am most disappointed by. The flight was Approx 4 and a half hours and the only thing offered was a half cup of water that was poured out and a bite sized banana slice of cake. In fact on my return journey I wasn’t even offered the water! To top it off BA no longer have a media screen from which you can select something to pass the time away. There wasn’t even the obligatory flight journey. The WiFi was poor. I couldn’t even access the shop. However, for a fee so much more was available. This explains BAs record profit of £1.52bn. So, the question is, what am I paying for? I will now for sure opt for the budget airlines. They are transparent with what they offer and what you have to pay for, which I can decide to choose or not. As BA now stands for Basic Airways I’ll go elsewhere and get basic for cheaper.", 5th November 2023,J Kaye ,United Kingdom,3,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteGatwick to Antalya
Date FlownOctober 2023",n
61,"""A totally unremarkable flight""","  A totally unremarkable flight, on time, as comfortable as European configuration goes. No catering due to the storm - effect greatly exaggerated. This was advised by email, and a euro 15 was provided - not easy to use - but lounge made up for this loss.", 4th November 2023,M Collie ,Ireland,8,"AircraftA320
Type Of TravellerCouple Leisure
Seat TypeBusiness Class
RouteDublin to London Heathrow
Date FlownNovember 2023",y
62,“BA clearly does not care”,"   1. Ground crew in Heathrow left 60 passengers luggage. We had 3 bags. 2. The Heathrow ground crew left 1 of ours behind after the 1st two were received the next day. 3. The Heathrow ground crew lost our 3rd bag 4 times and we were on the phone with them for over 3 hrs over the course of the week! 4. Due to this, we had to spend $500 on health and beauty items for my wife on our cruise. 5. British Airways said they MIGHT reimburse after 3 months. 6. We had to spend $100 in cab fare to Barcelona because the Bacelona ground crew (Iberia) claimed they had delivered it to us. 7. Heathrow ground crew made us 15 minutes late arriving back into Heathrow after our cruise. We actually landed 10 minutes early, but those incompetent people still were not ready for us. 8. The Heathrow ground crew caused us to leave 45 minutes late even though ALL passengers were boarded and ready 15 minutes before the departure time. This will probably mean we will miss our connection in Anchorage. BA clearly does not care or know how to operate a ground base...shameful. BA is a joke and should be embarrassed they can't operate like a normal airline. They do not grasp the concept that even a small hiccup can cause mass ripples of chaos to other people.", 31st October 2023,J Furlong ,United States,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteAnchorage to Heathrow via Barcelona
Date FlownOctober 2023",n
63,"""reflect a downward trend of the airline""","  London Heathrow to Gibraltar on 24th October 2023. I shall start by reference to the booking process. I used the BA website to reserve the seat and food the website to be easy to use and clear in every aspect. The flight was due to depart from terminal 3 but the passengers were bussed for a good 15 minutes to a different part of the airport where the aircraft was on a stand. When boarding the flight the cabin-crew kept a very low profile and this was maintained during the entire flight. The captain made 3 brief announcements during the flight. There was no in-flight entertainment. The seats were clean and comfortable enough for a short flight. The lack of catering was overt. Other than a tiny bottle of water and an inedible “breakfast bar” one had to use an online system to order even a drink and of course pay for it too. The passengers next to me could not use the online system as it doe not seem to work and the cabin refused to sell them a coffee because of this fault. Moreover, the USB charge points did not work either. Given the early hour of the flight it is a poor show that there are not even for sale items available from a trolley service. The system BA have in place is not good enough. The flight arrived on-time. The disembarkation was inefficient though and poorly managed and the crew were not to be seen. The crew were wearing the new BA uniform and it seems to reflect a downward trend of the airline. To be candid, there was any difference between this BA service and that of so-called “budget” rivals. On this route BA have a monopoly and so I did not have an option to use the services of a different company.", 28th October 2023,C Barton ,United Kingdom,6,"AircraftA320
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon Heathrow to Gibraltar
Date FlownOctober 2023",n
64,"""One of my better flights""", First time flying British Airways and I would not hesitate to fly economy with them again. Flight attendants were pleasant and efficient. Excellent special meal (low sodium). Comfortable space in economy. One of my better flights., 24th October 2023,M Davidson ,United States,8,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLondon to Philadelphia
Date FlownOctober 2023",y
65,"""I would still recommend BA"" ","  I flew London to Cairo and return in October 2023. It was basically a perfectly good pair of flights in Economy, with pleasant and professional cabin crew (especially on the return journey). Being only 1.73 m tall I have no problem with legroom in the back of the plane, the seat was OK if getting a little numbing after 5 hours, and the return of a rather good included snack box and drinks was welcome. However, it must be said that the value for money was poor: with a checked bag on the return leg only, this was a nearly £700 ticket. And although I am content to pass the time by reading or sleeping, it was surprising to find no in-flight entertainment on 5-hour flights. However, overall I would still recommend BA and would do so even more enthusiastically if it was more sensibly priced.", 23rd October 2023,Michael Gardiner ,United Kingdom,7,"AircraftA321 neo
Type Of TravellerBusiness
Seat TypeEconomy Class
RouteLondon Heathrow to Cairo
Date FlownOctober 2023",y
66,"""the worst experience ever""","  Absolutely the worst experience ever.  Flew into Heathrow, no problem. Waited for 5 hours, three extra hours, for our connection to Porto then the cancelled the flight. Scrambled for a hotel and a new flight the next day. They routed us through Madrid the next morning. That flight was 1.5 hours late so we missed our connection to Porto. Because we missed the connection (their fault), they cancelled our return flights. After two hours on the phone with customer service from the Madrid airport, they booked us a new return flight, then they made is pay $ 1300 to fly from Madrid to Porto. Then, for no reason they cancelled our return flight again! After hours, and hours and hours with customer service, we finally got a return flight five days after our original return flight. Meanwhile, they lost my wife's luggage. We finally got 15 DAYS after they lost it. Return flight? More problems with our reservations. At no point was British Airways helpful. They left the onus on us to fix their mistakes at every turn. They completely ruined a three week vacation and they don't care. They wouldn't even let us speak to a supervisor or manager. Awful, bordering on passenger abuse.", 22nd October 2023,Terry Anderson ,United States,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteSeattle to Porto via Heathrow
Date FlownOctober 2023",n
67,"""an exceptional crew member"" ","   Flew back from Malta after scattering our son's ashes at his favourite spots. When we boarded the aircraft for our return flight my wife became upset. A member of the cabin crew noticed this and immediately spoke to my wife and tried to reassure her. Her name is Tracey, an exceptional crew member. I noticed she spoke to other travellers in a courteous manner and was friendly. Each time she passed my wife she asked how she was and would she like anything. This kindness made a difficult time easier for us both. Aircraft seats were comfortable and service good for a 2hrs. 45mins. flight. Thank you B.A.", 22nd October 2023,Philip Thompson ,United Kingdom,8,"AircraftA320
Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteMalta to London Gatwick
Date FlownOctober 2023",y
68,"""even Ryanair have more space"""," Cabin luggage had to go to cargo, even when I said I carried medicines. There was no time to get them out the hand luggage. The economy seats with Virgin Atlantic, KLM and even Ryanair have more space. Luckily it was a short flight.", 21st October 2023,M Meijs ,Netherlands,3,"Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteLondon to Amsterdam
Date FlownOctober 2023",n
69,"""in-flight service is usually weak""","  I have been using BA for a while now and on average I cannot say that I am pretty satisfied. BA somehow experience cancellations and delays most of the time. Second, the in-flight service is usually weak. Food portions are small and cabin crew is not very helpful especially when it comes to drink requests. The screens in the A380s should be renewed as they are full of scratches and same size as A321s. Especially in longer flights, the entertainment system becomes more important. There is also no welcome package except for pillow and small blanket. I would expect more from BA. If you are flying from the US to anywhere except the UK, I would recommend considering other airlines. But if you are flying to/from UK directly, then BA could be one of your choices.", 21st October 2023,Mehmet Sahiner ,United Kingdom,4,"AircraftA380-800
Type Of TravellerSolo Leisure
Seat TypeEconomy Class
RouteSan Francisco to London
Date FlownOctober 2023",n
70,"""BA customer service is a disgrace""","   I flew from Istanbul to London in Business class. For more than half of the flight a child was watching an iPad very loud with no phones plugged in - it was three rows in front of me and disrupted my flight as I could hear it above my headphones. Staff thought this was fine and refused to tell the mom to turn it down. Why is this acceptable on a flight especially in business class? Has this airline turned into a zoo? Are staff given no training in customer service? Why is a child allowed to disrupt other passengers? When I told the staff she just laughed at me. BA customer service is a disgrace. I've not even mentioned the food but it was bad, really bad.", 19th October 2023,2 reviewsT Meares ,United Kingdom,1,"Type Of TravellerSolo Leisure
Seat TypeBusiness Class
Routeİstanbul to London
Date FlownOctober 2023",n
71,"""little concern for customer service""","  I have flow on BA several times since the airline started non-stop service between Austin, TX and London Heathrow. Every year the service gets worse. I brought a tape measure with me to see how far apart the seats are in the economy section. 25½ inches. BA has removed bathrooms in order to squeeze a few more rows of seats onto the aircraft. Thankfully I'm not a big person and was able to squeeze into my seat without being too uncomfortable. When BA first started flying out of Austin, the food was great. Now, when I arrive at Heathrow, I get real food and take it on the plane with me. I don't know where or who makes BA's food, but it is not eatable. If BA did not have a direct flight from my hometown to London, I would fly with a different airline. When we checked into Heathrow, the line was extremely long and only one person was checking people in. It took nearly an hour to get to the counter. I understand airlines are making record profits and need to make up lost revenue from the pandemic, but I think BA has gone too far and has little concern for customer service in pursuit of profits.", 19th October 2023,Mark LaForest ,United States,1,"Type Of TravellerCouple Leisure
Seat TypeEconomy Class
RouteLondon to Austin
Date FlownOctober 2023",n
